OBJECTID,Name,FIPS,Facility_Name,POINT_X,POINT_Y
1,"Eugene, OR",993,dest_993,-123.073197311106981,44.062381749218389
2,"Olympia--Lacey, WA",911,dest_911,-122.862559330848399,47.036750886844004
7,"Spokane, WA",923,dest_923,-117.171434970047812,47.659680686714353
9,"Portland, OR--WA",929,dest_929,-122.655186222366240,45.513894113722415
13,"Salem, OR",948,dest_948,-123.011373083401054,44.936461408267405
17,,975,dest_975,-123.211972199657282,44.124583300079280
18,,976,dest_976,-117.535222200444139,47.619027800392701
19,,977,dest_977,-122.596869400102719,45.588708899995765
20,,978,dest_978,-122.311777800405139,47.449888900152700
